# Mapping from the labels found in usage reports to EcoLogits (provider, model_name) pairs.
# Coefficients themselves live in coefficients.csv (regenerated by EcoLogitsCoefficientsGenerator).
#
label,provider,model_name
Claude 3 Haiku,anthropic,claude-3-haiku-20240307
anthropic.claude-3-haiku-20240307-v1:0,anthropic,claude-3-haiku-20240307
Llama 3 8B Instruct,huggingface_hub,meta-llama/Meta-Llama-3-8B-Instruct
meta.llama3-8b-instruct-v1:0,huggingface_hub,meta-llama/Meta-Llama-3-8B-Instruct
Llama 3 70B Instruct,huggingface_hub,meta-llama/Meta-Llama-3-70B-Instruct
meta.llama3-70b-instruct-v1:0,huggingface_hub,meta-llama/Meta-Llama-3-70B-Instruct
Mistral 7B Instruct,huggingface_hub,mistralai/Mistral-7B-Instruct-v0.2
mistral.mistral-7b-instruct-v0:2,huggingface_hub,mistralai/Mistral-7B-Instruct-v0.2
Mistral 7B,huggingface_hub,mistralai/Mistral-7B-v0.3
Mistral Large,mistralai,mistral-large-latest
Mixtral 8x7B Instruct,huggingface_hub,mistralai/Mixtral-8x7B-Instruct-v0.1
mistral.mixtral-8x7b-instruct-v0:1,huggingface_hub,mistralai/Mixtral-8x7B-Instruct-v0.1
Command R,cohere,command-r
cohere.command-r-v1:0,cohere,command-r
